learner,frac,qini
S-learner,0.6099312929419113,246.558380902958
S-learner,0.613210493441599,244.56670967741934
S-learner,0.6164896939412867,248.7975365665897
S-learner,0.6197688944409744,252.05332993110488
S-learner,0.623048094940662,250.20781527531085
S-learner,0.6263272954403498,249.1908127208481
S-learner,0.6296064959400375,247.95027624309398
S-learner,0.6328856964397251,246.15734265734272
S-learner,0.6361648969394129,246.96620278330016
S-learner,0.6394440974391006,249.57877813504825
S-learner,0.6427232979387882,250.0063944909001
S-learner,0.6460024984384759,246.76651982378854
S-learner,0.6492816989381637,245.06564551422326
S-learner,0.6525608994378513,246.05079825834548
S-learner,0.655840099937539,245.38728323699422
S-learner,0.6591193004372268,246.64063248682316
S-learner,0.6623985009369144,249.47067238912734
S-learner,0.6656777014366021,254.52313167259786
S-learner,0.6689569019362899,256.1119508738781
S-learner,0.6722361024359775,253.85049365303246
S-learner,0.6755153029356652,256.4151649894688
S-learner,0.6787945034353529,254.840782122905
S-learner,0.6820737039350406,255.31280388978928
S-learner,0.6853529044347283,257.22099447513807
S-learner,0.688632104934416,260.8846153846154
S-learner,0.6919113054341037,259.16928327645047
S-learner,0.6951905059337914,259.6178271716943
S-learner,0.698469706433479,260.88151658767777
S-learner,0.7017489069331667,256.6097506178387
S-learner,0.7050281074328545,259.6538461538462
S-learner,0.7083073079325422,263.4416796267496
S-learner,0.7115865084322298,263.43034055727554
S-learner,0.7148657089319176,267.01497467518175
S-learner,0.7181449094316052,265.6013157894737
S-learner,0.7214241099312929,266.62278978388997
S-learner,0.7247033104309807,266.7232472324723
S-learner,0.7279825109306683,269.7562662057044
S-learner,0.731261711430356,269.5301204819277
S-learner,0.7345409119300437,270.82160427807486
S-learner,0.7378201124297314,273.42224115892634
S-learner,0.7410993129294191,273.8274326902692
S-learner,0.7443785134291068,274.1877507919746
S-learner,0.7476577139287945,275.5625920471282
S-learner,0.7509369144284822,279.29781879194627
S-learner,0.7542161149281699,276.6969317470257
S-learner,0.7574953154278576,279.35887850467293
S-learner,0.7607745159275453,277.4042553191489
S-learner,0.764053716427233,278.0604316546762
S-learner,0.7673329169269206,279.1281946432223
S-learner,0.7706121174266084,279.55555555555554
S-learner,0.7738913179262961,277.34495338467775
S-learner,0.7771705184259837,278.2032667876588
S-learner,0.7804497189256715,280.5864978902954
S-learner,0.7837289194253592,280.05174825174834
S-learner,0.7870081199250468,277.2536303958623
S-learner,0.7902873204247346,276.889526826371
S-learner,0.7935665209244223,277.0981667652277
S-learner,0.7968457214241099,278.51923076923083
S-learner,0.8001249219237976,278.9470599726509
